color_name,channel1,channel2,channel3,channel4,channel5,channel6,channel7,channel8,channel9,channel10
red,78,225,321,275,429,954,1381,878,2418,240
red,78,225,321,275,430,956,1385,880,2421,242
red,78,224,321,274,429,955,1383,879,2419,242
red,78,225,321,274,429,955,1383,879,2419,242
red,78,224,321,274,427,954,1382,878,2418,242
red,77,224,321,274,428,954,1382,879,2419,242
red,78,224,320,274,429,955,1382,879,2420,242
red,78,224,320,274,428,955,1381,878,2417,240
red,78,224,321,274,430,957,1385,879,2421,242
red,78,225,321,274,430,958,1386,880,2424,242
red,78,225,322,275,432,959,1389,881,2428,244
red,78,225,322,275,434,961,1392,881,2429,244
red,78,226,322,276,435,963,1395,883,2433,244
red,78,226,323,276,436,964,1395,883,2433,246
red,79,226,323,276,436,964,1395,883,2435,246
red,78,226,323,276,435,965,1397,883,2435,246
red,79,226,323,276,437,965,1397,884,2435,246
red,78,226,323,277,436,965,1397,884,2434,246
red,79,226,323,276,437,965,1397,883,2433,246
red,78,226,323,276,437,965,1397,884,2435,246
red,78,226,323,276,437,964,1397,884,2434,246
red,78,226,323,276,436,964,1397,884,2435,246
red,78,226,323,276,436,964,1396,884,2435,246
red,78,226,323,276,434,964,1396,883,2434,246
red,78,226,323,276,435,964,1396,883,2433,246
red,78,226,323,276,435,963,1395,883,2431,244
red,78,226,323,276,435,963,1394,883,2431,244
red,78,226,322,276,434,962,1393,882,2430,244
red,78,226,322,276,434,962,1393,883,2431,244
red,78,226,322,276,434,962,1394,882,2430,244
red,78,226,323,276,434,962,1394,883,2431,244
red,78,226,322,276,434,963,1393,883,2431,244
red,78,226,323,276,434,963,1393,882,2431,244
red,78,226,322,276,435,962,1394,882,2430,244
red,78,226,323,276,434,963,1392,882,2430,244
red,78,226,322,276,434,962,1394,882,2429,244
red,78,226,322,276,434,962,1392,882,2428,244
red,78,226,323,276,434,962,1393,882,2430,244
red,78,226,323,276,433,962,1392,882,2430,244
red,78,226,323,276,433,962,1392,882,2429,244
red,78,226,323,276,435,962,1394,882,2431,244
red,78,226,323,276,434,962,1393,882,2430,244
red,78,226,323,276,434,962,1392,882,2429,244
red,79,226,323,276,434,961,1393,882,2429,244
red,78,226,323,276,434,963,1393,883,2432,244
red,79,226,322,277,434,962,1392,882,2430,244
red,79,226,323,276,433,961,1392,882,2430,244
red,78,226,323,276,433,960,1392,882,2428,244
red,79,226,323,276,433,962,1392,882,2427,244
red,79,226,323,276,433,960,1391,882,2427,244
red,79,226,323,277,433,961,1391,882,2428,244
red,79,226,323,277,433,961,1391,881,2427,244
red,78,226,323,276,433,960,1390,881,2427,244
red,78,226,323,276,433,960,1391,881,2428,244
red,78,226,323,276,433,960,1390,882,2427,244
red,79,226,323,276,434,959,1389,881,2426,244
red,78,226,323,276,432,961,1389,881,2425,244
red,79,227,323,276,432,959,1389,881,2424,244
red,79,226,323,276,432,960,1389,881,2425,244
red,79,226,323,276,432,960,1390,881,2427,244
red,78,226,323,276,433,960,1391,882,2427,244
red,79,227,323,277,434,961,1391,881,2427,244
red,78,226,323,276,432,960,1391,881,2426,244
red,79,226,323,276,432,960,1390,882,2426,244
red,78,226,323,276,433,960,1390,881,2427,244
red,78,226,323,276,432,959,1388,880,2425,244
red,78,226,323,276,431,958,1388,881,2425,244
